12:34:09   headertext name dverifysystime    Value:2012-08-15 15:52:00
12:34:09   headertext name dverifydate    Value:2012-08-17
12:34:09   headertext name ccloser    Value:
12:34:09   headertext name cverifier    Value:demo
12:34:09   headertext name cmaker    Value:demo
12:36:34   自动化错误
12:57:57   Function:->Init is true   
12:57:57   msbar.buttons(1).Key   add
12:57:57   msbar.buttons(1).Caption   增加
12:57:57   msbar.buttons(2).Key   print
12:57:57   msbar.buttons(2).Caption   打印
12:57:57   msbar.buttons(3).Key   modify
12:57:57   msbar.buttons(3).Caption   修改
12:57:57   msbar.buttons(4).Key   preview
12:57:57   msbar.buttons(4).Caption   预览
12:57:57   msbar.buttons(5).Key   delete
12:57:57   msbar.buttons(5).Caption   删除
12:57:57   msbar.buttons(6).Key   output
12:57:57   msbar.buttons(6).Caption   输出
